58, Luxurious Dish Set,2,57,0,50,1,1,0
59,Silverware Cutlery,2,30,0,120,1,1,0
60,Dinosaur Cookie Cutter,2,11,0,600,1,1,0
61,300 Baking Cups,2,7,0,15000,1,1,0
62,Fox Marble Rolling Pine,2,19,0,200,1,1,0
63,Rachael Pots and Pans,2,134,0,365,1,1,0
64,Lodge Cast Iron Skillet,2,22,0,400,1,1,0
65,Oster Steel Cookware,2,34,0,210,1,1,0
66,Smiry Tassel Tablecloth,2,30,0,450,1,1,0
67,Household Table,2,88,0,100,1,1,0
68,FURINO Computer Desk,2,68,0,50,1,1,0
69,Homissue Bookcase,2,65,0,60,1,1,0
70,Furinno 3-Tier Bookcase,2,29,0,150,1,1,0
71,Fabric Computer Chair,2,168,0,520,1,1,0
72,Basics Office Chair,2,138,0,500,1,1,0
73,Seiko Wood Wall Clock,2,35,0,200,1,1,0
74,Modern Wall Clock,2,29,0,100,1,1,0
75,Vintage Wall Clock,2,69,0,20,1,1,0
76,Bostitch Desk Lamp,3,29,0,30,1,1,0
77,AXTEE Desk Light Lamp,3,13,0,60,1,1,0
78,Tomshine Floor Lamp,3,52,0,50,1,1,0
79,Novogratz Floor Lamp,3,122,0,60,1,1,0
80,Oneach Floor Lamp,3,74,0,90,1,1,0
81,YOOFOSS Face Towel,3,11,0,600,1,1,0
82,Coverlet Bedding Set,3,78,0,400,1,1,0
83,Mady Coverlet Bedding,3,120,0,100,1,1,0
84,2 Pack Bed Pillows,3,34,0,200,1,1,0
85,Tempur ProHi Pillow,3,91,0,300,1,1,0
86,Holmes Clip Fan,3,10,0,600,1,1,0
87,Lasko Pedestal Fan,3,31,0,400,1,1,0
88,AquaOasis Humidifier,3,35,0,200,1,1,0
89,Laptop Backpack,3,32,0,400,1,1,0
90,The NorthFace Backpack,3,58,0,300,1,1,0
91,Minnie Backpack,3,124,0,150,1,1,0
92,Vera Bradley Backpack,3,65,0,100,1,1,0
93,Peppa Pig Backpack,3,20,0,60,1,1,0
94,Minnie Backpack 2,3,94,0,60,1,1,0
95,Mexican Dog Clothes,3,27,0,100,1,1,0
96,The Dog Face Raincoat,3,16,0,100,1,1,0
97,Anime Ninja Costume,3,20,0,100,1,1,0
98,Woof Dog Hoodie,3,18,0,90,1,1,0
99,Meihejia Cowboy Jacket,3,12,0,20,1,1,0
100,Vehomy Banana Hat Cat,3,16,0,50,1,1,0
101,Huy Bui so cool,3,0,0,1,1,1,0
102,Thien Duc handsome,3,0,0,1,1,1,0
103,Lam Nguyen super cute,3,0,0,1,1,1,0
104,Bridal Wedding Dress,3,9,0,20,1,1,0
105,Rubie's Pet Costume,3,16,0,100,1,1,0
106,Cat Doctor Costume,3,14,0,200,1,1,0
107,Dog Wig Pet Costumes,3,11,0,100,1,1,0
108,Gimilife Dog Costume,3,12,0,20,1,1,0
109,Reversible Pet,3,18,0,50,1,1,0
110,Rubie's Costume,3,20,0,50,1,1,0
,`,
